iter	Passed	Remaining
0	0	80
1	2	98
2	3	102
3	4	97
4	5	99
5	6	96
6	7	95
7	8	95
8	9	95
9	11	99
10	16	136
11	18	135
12	19	132
13	21	131
14	22	128
15	24	127
16	25	124
17	26	121
18	28	119
19	29	118
20	30	116
21	32	114
22	33	111
23	34	109
24	35	107
25	37	105
26	38	103
27	39	101
28	40	99
29	42	98
30	43	96
31	44	95
32	45	93
33	47	91
34	47	88
35	48	86
36	49	84
37	50	82
38	51	80
39	53	79
40	54	78
41	54	75
42	55	73
43	56	71
44	56	69
45	57	67
46	58	66
47	59	64
48	60	62
49	60	60
50	61	58
51	62	57
52	62	55
53	63	54
54	64	52
55	65	51
56	66	50
57	67	49
58	68	47
59	69	46
60	70	45
61	71	43
62	72	42
63	72	41
64	73	39
65	74	38
66	74	36
67	75	35
68	75	34
69	76	32
70	77	31
71	77	30
72	78	28
73	78	27
74	79	26
75	80	25
76	81	24
77	81	23
78	82	22
79	83	20
80	84	19
81	85	18
82	86	17
83	86	16
84	87	15
85	88	14
86	88	13
87	89	12
88	90	11
89	91	10
90	91	9
91	92	8
92	93	7
93	93	5
94	94	4
95	94	3
96	95	2
97	95	1
98	96	0
99	97	0
