iter	Passed	Remaining
0	149	149384
1	150	75002
2	150	50171
3	152	37909
4	154	30687
5	155	25685
6	155	22083
7	156	19442
8	159	17542
9	160	15935
10	162	14574
11	163	13432
12	163	12446
13	164	11609
14	166	10923
15	167	10277
16	167	9712
17	168	9213
18	169	8773
19	171	8397
20	172	8057
21	174	7744
22	175	7441
23	176	7159
24	177	6904
25	177	6664
26	178	6439
27	179	6244
28	180	6051
29	181	5868
30	182	5696
31	183	5543
32	184	5398
33	185	5263
34	186	5140
35	187	5024
36	188	4909
37	189	4797
38	190	4690
39	191	4591
40	192	4493
41	192	4400
42	193	4310
43	194	4227
44	195	4146
45	195	4064
46	196	3986
47	197	3923
48	198	3857
49	199	3796
50	200	3737
51	201	3678
52	202	3619
53	203	3562
54	203	3504
55	204	3451
56	205	3400
57	206	3352
58	207	3302
59	207	3253
60	208	3204
61	208	3158
62	209	3113
63	209	3069
64	210	3029
65	211	2991
66	212	2952
67	212	2915
68	213	2880
69	214	2848
70	215	2819
71	216	2789
72	217	2758
73	217	2725
74	218	2696
75	219	2667
76	220	2639
77	221	2612
78	221	2584
79	222	2558
80	223	2532
81	224	2510
82	224	2484
83	225	2460
84	226	2437
85	227	2413
86	227	2390
87	228	2367
88	229	2348
89	230	2328
90	231	2309
91	232	2290
92	232	2269
93	233	2249
94	234	2230
95	234	2212
96	235	2192
97	236	2173
98	236	2155
99	237	2136
100	238	2120
101	239	2106
102	240	2096
103	242	2089
104	243	2076
105	244	2063
106	245	2050
107	246	2038
108	247	2025
109	248	2012
110	249	1997
111	250	1982
112	250	1969
113	251	1954
114	252	1945
115	253	1934
116	254	1921
117	255	1908
118	256	1896
119	256	1882
120	257	1869
121	257	1855
122	259	1849
123	260	1838
124	260	1826
125	261	1815
126	262	1803
127	263	1793
128	265	1790
129	265	1778
130	266	1768
131	267	1756
132	267	1746
133	268	1736
134	269	1728
135	270	1719
136	271	1709
137	272	1701
138	272	1690
139	273	1680
140	274	1672
141	275	1662
142	276	1654
143	277	1651
144	278	1643
145	279	1634
146	280	1625
147	280	1616
148	281	1606
149	281	1597
150	282	1590
151	283	1582
152	284	1575
153	285	1567
154	285	1558
155	286	1550
156	287	1542
157	288	1534
158	288	1526
159	289	1518
160	289	1510
161	290	1504
162	291	1496
163	292	1489
164	293	1483
165	293	1476
166	294	1469
167	295	1464
168	296	1458
169	297	1452
170	298	1447
171	299	1442
172	300	1436
173	301	1431
174	302	1426
175	303	1421
176	305	1418
177	306	1413
178	306	1407
179	307	1401
180	308	1395
181	309	1389
182	309	1383
183	310	1377
184	311	1371
185	311	1365
186	312	1359
